# M94 MPL doc-claims ledger (cairn/LESSONS.md M71 rule made mechanical on the
# roxygen surface). One row per universal/negative/numeric claim candidate that
# `python3 data-raw/check-mpl-doc-claims.py` enumerates in the doc scope
# (the `@param conf_level` + `@param ci_method` blocks of R/icc.R, the M94
# NEWS.md entry, and — since M106 — the interval-methods vignette's MPL
# subsection). Columns: key, file, disposition, quote, assertion, reason.
#   key         sha1[:12] of "file\tnormalized claim sentence" (recomputed by
#               the enumerator; a changed sentence must be re-triaged).
#   disposition settle  — the assertion column is evaluated against
#                         data-raw/m92-interp-sweep.rds; nonzero exit on falsity.
#               out     — not settleable by the M92 fixture; reason says why and
#                         where it IS settled.
#               absent  — the quote is a REGEX that must match nowhere in the
#                         doc scope (AC6 refusal rows); assertion empty.
#   quote       verbatim substring of the claim sentence (whitespace-normalized)
#               that must appear in the doc scope (settle/out), or the forbidden
#               regex (absent).
#   assertion   a Python expression over the parsed fixture: `cell(id, col)`,
#               `col(name)` (list over E1,E2,E3), `verdict` (the 0.95 verdict
#               dict), `meta`. True = claim holds.
# Rows below are seeded from the fixture enumeration (M94 T1); the enumerator's
# cross-check requires every candidate to carry a row and every settle/absent
# row to bind (quote found / regex absent).
key	file	disposition	quote	assertion	reason
f2ff697c75d2	R/icc.R	out	each such gap and each such point estimate is below		M104: a claim about the bootstrap point/interval containment sweep, not about the M92 MPL interpolation cells this ledger's fixture holds, so that fixture cannot settle it. Settled mechanically elsewhere: tests/testthat/test-bootstrap-point-containment.R asserts both bounds over every row of tests/testthat/fixtures/bootstrap-point-containment.tsv (M104 AC2).
8b5d3c3e3628	R/icc.R	out	in that sweep's cells with real between-subject signal the interval contains its point		M104: same sweep, same reason -- out of this fixture's subject matter. The converse assertion (every row whose point is at or above 1e-8 has conf.low <= estimate) is pinned by the same test against the same committed fixture (M104 AC2).
3fe46e9bfb3f	vignettes/interval-methods.Rmd	out	no resampling, no seed		M106 vignette restatement of the mpl determinism claim (D-015): closed form, samples NA, no seed argument consumed; settled by the deterministic-metadata dispatch tests in test-ci-mpl.R, not the M92 cells; re-keyed at M135, which replaced the sentence's em dash with a colon and left the quoted span untouched
e50b57c2c557	vignettes/interval-methods.Rmd	out	never interpolated between levels		M106 vignette restatement of the level fence (D-017/M90), settled by the conf_level abort tests (mirror of the R/icc.R row e428d688f11e); the 2-10 rater / 10-100 subject grid figures are facts of the shipped kappa_m table, pinned by the mpl grid-fence abort tests
76fbf751b3cd	vignettes/interval-methods.Rmd	out	it is an opt-in and not the default		M106 vignette restatement of the deliberately-conservative claim from the M87/M90 assessment grid (D-014; mirror of the R/icc.R row d445b858554b); the wider-at-interior-cells leg is measured in cairn/references/mpl-twoway-random-comparison.md, not by the M92 cells; re-keyed twice at M135 — the prose pass split the sentence and left the conservatism and wider-at-interior-cells clauses in a trigger-free sentence, and the review pass rejoined them into this candidate sentence
0e83d1125bf2	vignettes/interval-methods.Rmd	out	does not abort at the near-zero-ICC boundary		M135 vignette restatement of the boundary-return claim (D-014 AC4): mpl returns an interval on near-zero-rho cells where the two-way Monte-Carlo default aborts. Not settled by the M92 interpolation cells but by the test "mpl returns an interval where the two-way MC default aborts (AC5)" in tests/testthat/test-ci-mpl.R, which searches for a dataset the Monte-Carlo default aborts on and asserts finite mpl limits there. A candidate only since M135, whose review pass gave the clause a sentence carrying a trigger token
d78ce12088ef	vignettes/interval-methods.Rmd	out	not equal-tailed		M106 vignette restatement of the roxygen asymmetry + near-vacuity caveats, whose cell-level legs are settled by the R/icc.R f80587033837 rows (this fixture) and by M91's D3 cell (data-raw/m91-interp-sweep.rds); the vignette sentence adds no new figure; re-keyed twice at M135 — the prose pass split the near-vacuity caveat into a trigger-free sentence of its own, and the review pass rejoined it to the asymmetry caveat in this candidate sentence
-	vignettes/interval-methods.Rmd	absent	nothing\s+(?:\w+\s+){0,3}isolates(?:\s+\w+){0,3}\s+rater|no\s+(?:pair|cell)s?\s+(?:\w+\s+){0,3}isolat\w*\s+(?:the\s+)?rater		AC6 refusal (the claim M92's review found false), vignette surface added by M106
-	R/icc.R	absent	finite\s+interval\s+on\s+every\s+dataset		refusal of the claim M105/D-022 falsified (burch aborts at MSA exactly 0), found still live in the @param ci_method block by the M106 review (F3)
452c545a9bc2	R/icc.R	out	Prefer "searle": across every distribution family in that study it landed closer to nominal coverage in most cells, including the heavy-tailed ones.		M113 skew battery, not the M92 MPL fixture this checker settles against; pinned by tests/testthat/test-doc-skew-caveat.R ("the replacement searle/burch comparison holds on the fixture", claim 1)
3e967c915a3d	R/icc.R	out	"burch" dipped below the nominal level in fewer cells overall, which is the one respect in which it was steadier, but it is a remedy for neither heavy tails nor skew (see the coverage caveat under Confidence intervals).		M113 skew battery, not the M92 MPL fixture; pinned by tests/testthat/test-doc-skew-caveat.R ("the replacement searle/burch comparison holds on the fixture", claim 2)
a64f246e63cc	R/icc.R	out	On the two grids this package has measured that vary only the subject effect, "burch" is usually the narrower of the two -- but by a margin that depends on the design, so it is not a rule of thumb.		M117 (re-triaged at review return #1), re-keyed at M119: the sentence now scopes its "two grids" to the pair that varies only the subject effect, because a third grid measures the residual too and reverses the ordering on it. Settled by data-raw/m116-classical-width-comparison.tsv and its generator, which pins the 16-of-16 and 59-of-64 counts; the "depends on the design" qualifier is settled by the per-factor block and by tests/testthat/test-doc-skew-caveat.R, which recomputes every per-level median from the per-cell rows and checks each stated figure against the level it is stated at. Not settleable against this ledger's m92-interp-sweep fixture, which is MPL.
b0864228b68f	R/icc.R	out	That margin holds much the same up to a true ICC of 0.3 rather than shrinking as the true ICC rises (on the larger grid; the smaller grid's margin does shrink across its levels), then collapses to near parity at a true ICC of 0.6, on the one grid reaching that value, which is also where every cell "searle" won sits; and it shrinks steadily as the subject count grows, measured at 5 raters.		M117 re-cut (re-keyed 2026-08-13: the sentence gained the AC9 grid hedge, restaling the full-sentence hash — M105). The three clauses are canonical templates checked verbatim against the fixture by test-doc-skew-caveat.R; nothing here is an MPL claim.
11bf5404facf	R/icc.R	out	What "burch" does against "searle" depends on what the residual is drawn from, and the three grids now measure that: the two grids that vary only the subject effect put it narrower nearly everywhere, while the third, which draws the residual from the same family as the subject effect, puts it wider at every symmetric heavy-tailed family measured (a median width ratio of 1.2963 at t(5) with 100 subjects) and narrower at every lighter-tailed one, the normal included.		M119, replacing the M116 row whose "which neither grid tests" clause M118 falsified: the reversal reproduced on a grid drawing both components from the cell's family (D-030). Settled by tests/testthat/fixtures/width-reversal-by-cell.tsv via test-doc-skew-caveat.R, which recomputes the per-family direction from that fixture's decision block and re-checks the 1.2963 figure against the t(5) cell at 100 subjects it names; the clause is required verbatim at every site the residual walk returns. Nothing here is an MPL claim.
6522bd809a20	R/icc.R	out	Treat neither as reliably the tighter interval; the per-level figures for the two grids that vary only the subject effect are tabulated in the interval-methods article.		M117: guidance following from the two rows above; no fixture settles a recommendation. Re-keyed at M119, which narrowed the pointer's scope: the article tabulates the per-level figures for the two subject-effect-only grids, and M118's third grid is not tabulated there, so the unqualified "the measured figures" had become an overclaim once the residual clause preceded it. The pointer is checked by the vignette carrying those tables (test-doc-skew-caveat.R numeral pins over the width statements).
