# M74 generalizing-claim triage ledger (D-009 scope fence: source-table
# generalizations, re-derived not exit-coded). One row per candidate emitted by
# `python3 data-raw/enumerate-generalizing-claims.py`; the enumerator's --check
# gate asserts every current candidate appears here (enumeration completeness,
# AC1 — NOT a claim-truth check). Columns: key, citekey, disposition, reason,
# claim (first ~90 chars, for orientation only).
#
# Dispositions:
#   IN            source-table generalization the repo relies on -> recomputed in T2-T4;
#                 the reason records the full-table basis + result (confirmed/narrowed/corrected).
#   IN-done       already recomputed over its full table at M71; M74 re-derived and confirmed.
#   IN-consumer   a downstream restatement (INDEX) of an IN claim -> checked for consistency in T5.
#   OUT-*         not in scope, with the category reason. Categories: provenance (extraction/
#                 exhaustive-read), quote (verbatim/source-attributed), tabledata (transcribed cell/
#                 design row), design (grid/replications/structure), single (one cited cell/worked
#                 example/band convention), figure (plot-read, no table), prose (meta/definitional),
#                 oracle-pin (ORACLES.md repo-fixture claim, test-enforced), citation (BIBLIOGRAPHY),
#                 repo-analysis (repo synthesis note, validated at its own milestone),
#                 repostate (M73/D-009 dated observation), nonloadbearing (scope Out).
key	citekey	disposition	reason	claim
INDEX:52787b600b	INDEX	OUT-provenance	provenance/extraction or exhaustive-read statement, not a value generalization	(2026-07-19): all four are now dated-verified**, each read to its source's final
INDEX:67bfca4cc3	INDEX	IN-consumer	T5: restates trevethan2017 six-ICC range 0.51-0.87; check consistency	ICCs from 0.51 to 0.87 (Table 2). A second independent source for judging the
INDEX:72ae78c7ea	INDEX	IN-consumer	T5: restates xiao2009 PL range; check consistency	0.931–0.950 against a nominal 0.95 here — the design contrast that shows PL's
INDEX:741ffb9f04	INDEX	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	REML best, NBOOT slightly worse than SEARLE — the M62 NBOOT-prototype oracle.
INDEX:8fa8ec5ff4	INDEX	OUT-provenance	provenance/extraction or exhaustive-read statement, not a value generalization	**Extraction status across the shelf (2026-07-19).** **All 30 notes are now
INDEX:b2e1c8bc11	INDEX	IN-consumer	T5: restates saha2005 Table I U-shape; check consistency	- `saha2005` — Table I's rejection counts are **U-shaped in `φ`**: the `π = 0.4`
INDEX:c99bf23204	INDEX	IN-consumer	T5 UPDATED: restated saha2005 worst-cell to ~13% (was ~15%) to match the T2 correction	Table I quantifies near-boundary non-convergence (~13 % acceptance at worst).
INDEX:eae242aeb1	INDEX	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	never reached: two published ANOVA tables with all five methods' 95 % limits,
ORACLES:3fd1c6b81f	ORACLES	OUT-oracle-pin	ORACLES.md claim about the repo's own committed coverage fixture (test-enforced, D-008), not an external source-table generalization; T5 re-checks if it rests on a corrected source claim	- **Pins (#4/#18):** min cell coverage > .87, overall mean > .93; boundary coverage ≥ .90 
ORACLES:41ede1db58	ORACLES	OUT-oracle-pin	ORACLES.md claim about the repo's own committed coverage fixture (test-enforced, D-008), not an external source-table generalization; T5 re-checks if it rests on a corrected source claim	displacement): boundary (θ²=0) coverage **C_n=5/20/80 = .95/.86/.57**, worst cell (C_n=80,
ORACLES:466c2768b4	ORACLES	OUT-oracle-pin	ORACLES.md claim about the repo's own committed coverage fixture (test-enforced, D-008), not an external source-table generalization; T5 re-checks if it rests on a corrected source claim	| McGraw & Wong (1996) Case 3A — θ² = Σc_j²/(k−1) with Σc_j = 0 | Table 1, p. 32 | verifie
ORACLES:7b1e86fe02	ORACLES	OUT-oracle-pin	ORACLES.md claim about the repo's own committed coverage fixture (test-enforced, D-008), not an external source-table generalization; T5 re-checks if it rests on a corrected source claim	| ten Hove et al. (2020) — simulation DGP and MCMC settings | §4.1, pp. 6–8 | verified — o
ORACLES:9327f5a635	ORACLES	OUT-oracle-pin	ORACLES.md claim about the repo's own committed coverage fixture (test-enforced, D-008), not an external source-table generalization; T5 re-checks if it rests on a corrected source claim	| McGraw & Wong (1996) Case 1 — one-way model; ICC(1) = σ²_r/(σ²_r+σ²_w); ICC(k) = σ²_r/(σ
ORACLES:9734bea4f2	ORACLES	OUT-oracle-pin	ORACLES.md claim about the repo's own committed coverage fixture (test-enforced, D-008), not an external source-table generalization; T5 re-checks if it rests on a corrected source claim	| Vispoel, Hong, Lee & Xu (2022) — SEM indicator-mean vs 12 R/SAS/SPSS procedures, ≤ .001 
ORACLES:97e64dca92	ORACLES	OUT-oracle-pin	ORACLES.md claim about the repo's own committed coverage fixture (test-enforced, D-008), not an external source-table generalization; T5 re-checks if it rests on a corrected source claim	the C_n collapse is gone (boundary **.957/.965/.953** across C_n=5/20/80), worst pre-fix c
ORACLES:9ab8cb9e50	ORACLES	OUT-oracle-pin	ORACLES.md claim about the repo's own committed coverage fixture (test-enforced, D-008), not an external source-table generalization; T5 re-checks if it rests on a corrected source claim	| ten Hove et al. (2022) Table 3 — all level × type cells, three designs | p. 6 | verified
ORACLES:a48f75e63f	ORACLES	OUT-oracle-pin	ORACLES.md claim about the repo's own committed coverage fixture (test-enforced, D-008), not an external source-table generalization; T5 re-checks if it rests on a corrected source claim	half-*t* + k > 2 as the best-performing combination, and percentile is additionally transf
ORACLES:bd95cdc688	ORACLES	OUT-oracle-pin	ORACLES.md claim about the repo's own committed coverage fixture (test-enforced, D-008), not an external source-table generalization; T5 re-checks if it rests on a corrected source claim	- **Pins:** `test-icc-brms.R` — **O-Bayes-IFNML** (committed fixture: all four cells in [.
ORACLES:c68ae381fe	ORACLES	OUT-oracle-pin	ORACLES.md claim about the repo's own committed coverage fixture (test-enforced, D-008), not an external source-table generalization; T5 re-checks if it rests on a corrected source claim	**.37 → .95–.98**, every cell ≥ .91. Confirms Fable's derived prediction (boundary conserv
ORACLES:ca54b98a18	ORACLES	OUT-oracle-pin	ORACLES.md claim about the repo's own committed coverage fixture (test-enforced, D-008), not an external source-table generalization; T5 re-checks if it rests on a corrected source claim	(the regression guard — no incidental-parameters collapse); worst cell (C_n=80, n_s=3, θ²=
ORACLES:ccc079fd46	ORACLES	OUT-oracle-pin	ORACLES.md claim about the repo's own committed coverage fixture (test-enforced, D-008), not an external source-table generalization; T5 re-checks if it rests on a corrected source claim	| ten Hove et al. (2020) — the four reproduced findings (convergence, MAP vs EAP for σ_r, 
ORACLES:f68c060bd0	ORACLES	OUT-oracle-pin	ORACLES.md claim about the repo's own committed coverage fixture (test-enforced, D-008), not an external source-table generalization; T5 re-checks if it rests on a corrected source claim	| Brennan (2001) Ch. 3 — the two-facet decomposition behind O-Bayes-Rep: crossed `p × i × 
ORACLES:fe4bb4e0f4	ORACLES	OUT-oracle-pin	ORACLES.md claim about the repo's own committed coverage fixture (test-enforced, D-008), not an external source-table generalization; T5 re-checks if it rests on a corrected source claim	95% BCI coverage is ~nominal (≈95–97%)** at k > 2 (HPDI is too wide for σ_r — we use
bartko1966:042c582860	bartko1966	OUT-provenance	provenance/extraction or exhaustive-read statement, not a value generalization	Extraction: verified 2026-07-19 against the source (all 9 PDF pages read through the refer
bartko1966:55a14e8775	bartko1966	OUT-provenance	provenance/extraction or exhaustive-read statement, not a value generalization	residual `13.0 − 8.0 = 5.0`. All four printed coefficients reproduce to the
bartko1966:c3a9f5ec41	bartko1966	OUT-design	design descriptor of the single worked example (one dataset across three ICC models)	The same 4-subject × 2-rater data set is carried through all three models. Raw
bartko1966:ed3c342de0	bartko1966	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	Bartko's thesis, stated p. 3: "the definition of the ICC most frequently and
bartko1976:04501ebe5a	bartko1976	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	Neither is a band or a cutoff, so neither is the kind of content IP3 most guards
bartko1976:3f6d338d2f	bartko1976	OUT-single	superlative/label on one specific cited cell, worked example, or cited band convention; not a generalization over uncited cells	raters, with the note "`r = 1.0` throughout" — i.e. all three have a
bartko1976:5c6fe2cc92	bartko1976	OUT-provenance	provenance/extraction or exhaustive-read statement, not a value generalization	Extraction: verified 2026-07-19 against the source (all 4 PDF pages read through the refer
bartko1976:de18cca7f7	bartko1976	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	Stated defect of the anchor-point model, p. 764: "the most severe being that
bhandary2006:169927f930	bhandary2006	OUT-design	simulation-design / model descriptor (grid, replications, structure), not a value generalization over a table	table: **75 rows**, each carrying all six `K × test` columns. A slice:
bhandary2006:22fcd01131	bhandary2006	OUT-tabledata	markdown table row / quoted design heading: a transcribed source cell or design-axis descriptor, not a generalization over the table	| Populations | **Exactly three** in the development (Eqs. 2.4–2.6) and in every simulatio
bhandary2006:2fd698d91d	bhandary2006	IN-done	M74: Table 2 rho grid 0.1-0.9 even; confirmed	0.5. Table 2 (the size table) is the one that sweeps 0.1–0.9 evenly, and only on
bhandary2006:572251bfa9	bhandary2006	IN-done	M74: F_max over 27 Table-2 cells min .0165 (K5/rho.4) max .0414 (K30/rho.4); confirmed	0.0493 only at `K = 30, ρ = 0.1`. `F_max`'s size stays in 0.0165–0.0414 in every
bhandary2006:84e08b3bdc	bhandary2006	OUT-design	simulation-design / model descriptor (grid, replications, structure), not a value generalization over a table	sizes are large (at least 30)" (p. 770).
bhandary2006:a608f028d7	bhandary2006	OUT-design	simulation-design / model descriptor (grid, replications, structure), not a value generalization over a table	**Srivastava's (1984) estimator, Eq. (2.3), p. 767** — used throughout as a
bhandary2006:b870dc6950	bhandary2006	OUT-design	simulation-design / model descriptor (grid, replications, structure), not a value generalization over a table	`ρ₁, ρ₂, ρ₃` over 0.1–0.9 in steps of 0.1; **10,000 replications** per
bhandary2006:e4d6d93517	bhandary2006	IN-done	M74: Table 2 grid min rho=0.1; confirmed	- **No `ρ = 0` cell.** The simulation's lowest value is `ρ = 0.1`, matching
bobak2018:04fef6f455	bobak2018	OUT-provenance	provenance/extraction or exhaustive-read statement, not a value generalization	nothing after it. All 13 Table 3 rows, all 3 Table 2 rows and every Table 4/5
bobak2018:2b5349a664	bobak2018	IN	M74 CONFIRMED from Table 3: ICC estimates {0.821,0.295,0.644,pooled 0.609,ICCb* 0.681,homog 0.640/0.706}; min 0.295	| **Near-zero ICC** | Not addressed. The smallest estimate is 0.295 and there is no bounda
bobak2018:35a008d65f	bobak2018	OUT-single	superlative/label on one specific cited cell, worked example, or cited band convention; not a generalization over uncited cells	score*, largest at `θ = 0.5` and vanishing at the ends. The stated intuition
bobak2018:403cae9cb2	bobak2018	IN	M74 CONFIRMED: every pooled/homogenized ICC summary in [0.609,0.706] (0.609,0.681,0.640,0.706)	0.609–0.706, i.e. "moderate" to "good". **A model simplification moved a real
bobak2018:83c6e1b149	bobak2018	OUT-tabledata	markdown table row / quoted design heading: a transcribed source cell or design-axis descriptor, not a generalization over the table	| Design | **Crossed / two-way**: "the recorded encounters from all three studies were re-
bobak2018:ceadff8a4e	bobak2018	OUT-single	superlative/label on one specific cited cell, worked example, or cited band convention; not a generalization over uncited cells	of the scale and worst in the middle. Eq. (9) then defines the population-average
donner2002:0145b4d0e8	donner2002	IN	M74 CONFIRMED cross-note: donner rho floor 0.4 across all 3 tables (T1-2 {.95,.8,.6,.4}, T3 pairs {(.4,.6),(.4,.7),(.6,.8)})	- **No `ρ = 0` or near-zero cell.** The simulated `ρ` **floor is 0.4** across all
donner2002:55ac277b1b	donner2002	IN	M74 CONFIRMED (this is the flagged 'M74 territory' line): donner 0.4 is the highest floor of the five; konishi (0.1, line 136), young/naik/bhandary all reach 0.1. The line keeps its check:none directive (a dated observation no command settles, D-009); M74 settles the underlying cross-note claim by recomputation	`bhandary2006`; checked against all five notes, observed 2026-07-19 <!-- check: none — com
donner2002:694ac6fe2e	donner2002	OUT-design	simulation-design / model descriptor (grid, replications, structure), not a value generalization over a table	5000 runs per cell, SAS IML, `α = 0.05` two-sided, `μ₁ = μ₂ = 0`,
donner2002:9027bec418	donner2002	OUT-tabledata	markdown table row / quoted design heading: a transcribed source cell or design-axis descriptor, not a generalization over the table	| Structure | Two observer panels of sizes `k₁`, `k₂` rating the same `N` subjects; within
fleiss1973:45d107ae93	fleiss1973	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	qualitative difference between them (pp. 617–618).
fleiss1973:527f113e0f	fleiss1973	OUT-provenance	provenance/extraction or exhaustive-read statement, not a value generalization	Extraction: verified 2026-07-18 against the source (all 7 PDF pages = printed 613–619, rea
jorgensen2021:1cf168539c	jorgensen2021	OUT-prose	agreement statement about SEM vs LS estimates; not a source-table generalization	the 5th decimal place", and SEM gives identical estimates under least-squares or
konishi1989:07fd680222	konishi1989	OUT-design	simulation-design / model descriptor (grid, replications, structure), not a value generalization over a table	equal `p`, and `q = 2` — none of them suffices on its own.** In the general
konishi1989:f68b33b96c	konishi1989	OUT-design	simulation-design / model descriptor (grid, replications, structure), not a value generalization over a table	case Theorem 3.4, pp. 100–101). **Exact `χ²₁` requires all three of normality,
koo2016:14a78d5d83	koo2016	OUT-quote	verbatim source statement or source-attributed result (cited); the source's own generalization, not the note over-generalizing	to "excellent"; a CI of 0.92–0.99 is "excellent" "because even in the worst case
koo2016:15d1a7fbb8	koo2016	OUT-design	simulation-design / model descriptor (grid, replications, structure), not a value generalization over a table	condition — the bands assume "at least 30 heterogeneous samples" and "at least
koo2016:16642b84e1	koo2016	OUT-design	simulation-design / model descriptor (grid, replications, structure), not a value generalization over a table	all three, each scored by all 10 forms. `y = x`: every ICC = 1.00. `y = x + 3`,
koo2016:1b2f913685	koo2016	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	guidance/prose source only, and it is the source IP3 is most sensitive to.
koo2016:230d59e9bf	koo2016	OUT-provenance	provenance/extraction or exhaustive-read statement, not a value generalization	Extraction: verified 2026-07-18 against the source (all 9 PDF pages = printed 155–163, rea
koo2016:2d79ac6bdf	koo2016	OUT-single	superlative/label on one specific cited cell, worked example, or cited band convention; not a generalization over uncited cells	mixed; reported ICC = **0.78**, 95% CI **0.72–0.84** → "moderate" to "good"
koo2016:97fdd834e0	koo2016	OUT-single	superlative/label on one specific cited cell, worked example, or cited band convention; not a generalization over uncited cells	Worked applications of the rule (p. 161): a 95% CI of 0.83–0.94 is read as "good"
koo2016:c858acd403	koo2016	OUT-single	superlative/label on one specific cited cell, worked example, or cited band convention; not a generalization over uncited cells	four-row band table (`< 0.50` poor / `0.50–0.75` moderate / `0.75–0.90` good /
mcgraw1996:cedef8f67b	mcgraw1996	OUT-provenance	provenance/extraction or exhaustive-read statement, not a value generalization	Extraction: verified 2026-07-18 against the source (all 18 PDF pages = printed 30–46 plus 
mehta2018:1f449edc73	mehta2018	OUT-quote	verbatim source claim (p.2745) that the mode gives the smallest difference; the source's own generalization	the smallest absolute difference from the uniform distribution across all 6
mehta2018:1f73158089	mehta2018	OUT-tabledata	markdown table row / quoted design heading: a transcribed source cell or design-axis descriptor, not a generalization over the table	| Design | **Two-way, crossed, balanced** — `k` raters each judging every one of `n` subje
mehta2018:2abd436dec	mehta2018	IN	M74: Appendix A sigma_a pulled toward uniform 1.70 by sampling; concave down 2.43->1.85, convex up 0.70->1.24	to 1.85 (concave) and up from 0.70 to 1.24 (convex), against uniform's 1.70 —
mehta2018:2c7cf096f0	mehta2018	OUT-prose	structural pointer (which pages a section spans)	mechanism (§3.2, which runs pp. 2740–2743) is decomposed and this is the part
mehta2018:4d8c1245eb	mehta2018	OUT-nonloadbearing	non-load-bearing commentary (out-of-contract sampling-method / per-cell source detail); no package value, oracle, candidate or D-entry relies on it (scope Out)	(extreme concave 0.18 full vs 0.19 sampled; extreme convex 0.20 vs 0.19–0.20,
mehta2018:5c7edbfcb0	mehta2018	OUT-nonloadbearing	non-load-bearing commentary (out-of-contract sampling-method / per-cell source detail); no package value, oracle, candidate or D-entry relies on it (scope Out)	against uniform's 0.19). At Cases 5–6 they move materially: extreme concave
mehta2018:65160f04aa	mehta2018	OUT-design	simulation-design / model descriptor (grid, replications, structure), not a value generalization over a table	20 % of subjects get a 1-point disagreement from all 8 raters) to severe
mehta2018:7b5a726e01	mehta2018	IN-done	M71: N80 vs N300 agree 0.00-0.01 over all 30 Table-4 cells	Table 4's `N = 300` and `N = 80` rows agree to **0.00–0.01 in every one of the 30
mehta2018:94bea37505	mehta2018	OUT-design	simulation-design / model descriptor (grid, replications, structure), not a value generalization over a table	**10 000 simulations** per cell; `k = 8` raters; 5-point ordinal scale (0–4);
mehta2018:a42f8249c3	mehta2018	IN	M74: Table 7 mode rows vs uniform (Case5 .35 vs .34, Case6 .18 vs .16)	(p. 2745). Mode-sampled values track uniform at every case (Case 5: 0.35 against
mehta2018:a7af541cc7	mehta2018	OUT-repostate	dated repo-state observation (M73/D-009), settled by its check: directive, not by table recomputation	| **Ordinal / discrete outcomes** | **Named repeatedly in the repo as unscheduled future w
mehta2018:aba5e9c9f0	mehta2018	IN	M74: part of Table-5 sigma_a superlative (see 2.43-highest row)	`N = 300`) and lowest under convex (0.70), with uniform in between (1.70).
mehta2018:cf73ea567d	mehta2018	IN	M74 NARROWED: 0.08 lowest true ICC over cluster minima (mehta .08 < xiao2009/bhandary .1 < bobak .295 < donner .4 < xiao2013 .6); saha phi .05 excluded (binary dispersion, not Gaussian ICC)	| **Near-zero ICC** | Reached, at last. Case 6 produces `ICC` = 0.08 (extreme convex, `N =
mehta2018:e091024138	mehta2018	IN-done	M71: interdecile ratio ~1-2.5x over 30 cells; min 1.0 (concave Case1) recomputed	**roughly doubles** — about 1–2.5× across the 30 cells, most often almost exactly
mehta2018:e50097f109	mehta2018	IN	M74: Table 5 sigma_a at Case1/N300: concave 2.43 highest, convex 0.70 lowest, uniform 1.70 between	highest under concave distributions (2.43 at Case 1, extreme concave,
naik2007:4987fd1bf0	naik2007	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	without restriction (p. 6504). Both are `χ²_{g−1}`.
naik2007:8c3461c3d3	naik2007	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	**most general member of the cluster**. This note carries the `young1998`
naik2007:9d9fe0b1e8	naik2007	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	**Notation.** The abstract and introduction say "k intraclass correlations"; §2 onward use
naik2007:ad061b49e2	naik2007	OUT-design	simulation-design / model descriptor (grid, replications, structure), not a value generalization over a table	`α = 0.05` (`P` from 0.36 to 0.41). Estimates and standard errors are tabulated
naik2007:d155338c6e	naik2007	OUT-design	simulation-design / model descriptor (grid, replications, structure), not a value generalization over a table	Case 1 `σ²₁ = 1, σ²₂ = 2`; Case 2 `σ²₁ = 1, σ²₂ = 2, σ²₃ = 3`; `ρ` over 0.1–0.9
naik2007:e5fbf0c410	naik2007	IN-done	M74: sim rho grid 0.1-0.9 (no rho=0); confirmed	- **No `ρ = 0` cell**, as everywhere in this cluster: the grid is 0.1–0.9. The
naik2007:e6b535d3f5	naik2007	OUT-provenance	provenance/extraction or exhaustive-read statement, not a value generalization	Extraction: verified 2026-07-19 against the source (all 13 PDF pages read to the final pag
npbootstrap-oneway-comparison:0221bfe11d	npbootstrap-oneway-comparison	OUT-repo-analysis	repo-internal synthesis note (own computed comparison/pilot, validated at M62/RR01 resp. the SEM pilot), not an external published source table	transformed bootstrap-t coverage must track their published curve (≈0.94–0.95
npbootstrap-oneway-comparison:65f4f15127	npbootstrap-oneway-comparison	OUT-repo-analysis	repo-internal synthesis note (own computed comparison/pilot, validated at M62/RR01 resp. the SEM pilot), not an external published source table	classical F CI, with REML best; ukoumunne2003 finds untransformed bootstraps
npbootstrap-oneway-comparison:67bb1656f2	npbootstrap-oneway-comparison	OUT-provenance	provenance/extraction or exhaustive-read statement, not a value generalization	**Provenance.** Ingested 2026-07-18 by M62 from the M62 coverage sweep together with `ukou
npbootstrap-oneway-comparison:6b78071156	npbootstrap-oneway-comparison	OUT-repo-analysis	repo-internal synthesis note (own computed comparison/pilot, validated at M62/RR01 resp. the SEM pilot), not an external published source table	transformed; the untransformed bootstrap-t / BCa ≈0.82–0.90 at k=10) within a
npbootstrap-oneway-comparison:6ca608fb17	npbootstrap-oneway-comparison	OUT-repo-analysis	repo-internal synthesis note (own computed comparison/pilot, validated at M62/RR01 resp. the SEM pilot), not an external published source table	under-cover at C3/C4 (0.86–0.89 < 0.93) → they fail. Framing (RR01): the
npbootstrap-oneway-comparison:79911e1bd7	npbootstrap-oneway-comparison	OUT-repo-analysis	repo-internal synthesis note (own computed comparison/pilot, validated at M62/RR01 resp. the SEM pilot), not an external published source table	0.93 at *all four* cells (MC fails C2/C4; parametric bootstrap fails C3;
npbootstrap-oneway-comparison:81a7d67332	npbootstrap-oneway-comparison	OUT-repo-analysis	repo-internal synthesis note (own computed comparison/pilot, validated at M62/RR01 resp. the SEM pilot), not an external published source table	aborts + 0.85–0.88 conditional coverage). A boundary-robust *classical* default
npbootstrap-oneway-comparison:9c9c2e7072	npbootstrap-oneway-comparison	OUT-repo-analysis	repo-internal synthesis note (own computed comparison/pilot, validated at M62/RR01 resp. the SEM pilot), not an external published source table	| C4 | 12 | 4 | 0.05 | corner: few-subjects × boundary (worst case) |
npbootstrap-oneway-comparison:eac8a9c88e	npbootstrap-oneway-comparison	OUT-repo-analysis	repo-internal synthesis note (own computed comparison/pilot, validated at M62/RR01 resp. the SEM pilot), not an external published source table	All six deltas ≤ .017, inside ±0.03. (Percentile — ours .770/.904/.918 — is not
ohyama2025:0b0f9ade11	ohyama2025	OUT-figure	plot-read of a figure (no source table to recompute); read/corrected at its ingesting milestone	and need no plot-read at all. Coverage only — Figs 3–4 omit NBOOT, so no NBOOT
ohyama2025:1dcb6beab1	ohyama2025	OUT-figure	plot-read of a figure (no source table to recompute); read/corrected at its ingesting milestone	Figs 1–2 plots coverage *and* both tail error rates against ρ; they differ by
ohyama2025:5e8aabfd95	ohyama2025	OUT-figure	plot-read of a figure (no source table to recompute); read/corrected at its ingesting milestone	"Figs 1–2 (coverage + tail error vs ρ)" reading obscured that.
ohyama2025:6afacbcf52	ohyama2025	OUT-single	worked-example descriptor (one dataset, 30 subjects), not a generalization over uncited cells	**Example 1 — PMOC** (predicted maximal oxygen consumption, 30 subjects,
ohyama2025:8765490b02	ohyama2025	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	- **REML best overall** — excellent coverage across cells; at k=10, n≥5 slightly
ohyama2025:951a942e05	ohyama2025	OUT-tabledata	markdown table row / quoted design heading: a transcribed source cell or design-axis descriptor, not a generalization over the table	| REML | Burch 2011 (eq. 9) | REML asymptotic `log(1+nθ̂)` | closest to our REML-covarianc
ohyama2025:fcb48d847a	ohyama2025	OUT-prose	meta/definitional/structural commentary; superlative or quantifier not applied to a numeric source table	it prints **two fully worked examples, each with all five methods' 95 % limits**
saha2005:4e66f36f2a	saha2005	IN-done	M71: Table I rejection U-shaped in phi (pi=0.4 rows); recomputed	are U-shaped**, and at `φ = 0.85` they are as bad as or worse than the near-zero
saha2005:5f25f9df2a	saha2005	OUT-figure	Figure 1 bias plot-read correction record; no source table	this note had DEQL lowest; corrected at M71 review off the 1200-DPI render).
saha2005:5fb0e97037	saha2005	OUT-provenance	provenance/extraction or exhaustive-read statement, not a value generalization	finding recorded by M64.) Both halves re-read against the PDF at M71 and the
saha2005:5ff506080b	saha2005	OUT-figure	plot-read of a figure (no source table to recompute); read/corrected at its ingesting milestone	(largest overall, on the average)" (p. 3505). Figure 1(a) is `m = 10`, BB,
saha2005:7437956c6d	saha2005	OUT-figure	Figure 1 bias plot-read (end-point ordering); corrected at M71 off 1200-DPI render, no source table	`◇` **BCML ≈ +0.08 — BCML is the lowest, not DEQL** (an earlier version of
saha2005:75ddcd4264	saha2005	OUT-quote	verbatim source statement or source-attributed result (cited); the source's own generalization, not the note over-generalizing	most instances" (p. 3510); quote whichever you cite with its section, because
saha2005:9edc191893	saha2005	OUT-figure	Figure 1 bias plot-read (no companion table); read/corrected at M71 off high-DPI render	roughly `φ ≈ 0.3–0.4`, and then falls, reaching about **−0.19 for ML and Q₂
saha2005:ba08f4a12d	saha2005	IN	M74 CORRECTED: worst acceptance = 1000/max-generated; over all 160 Table I cells max=7695 (PNB/TNBD,m10,pi.1,phi.2) -> 13.0%, not 6609->15%; boundary cells 6600/6609/6903 behind at ~14-15%	**At the worst cell the acceptance rate is ~13 %** (1000 usable from **7695**
